ENCUESTA;PREGUNTA;RESPUESTA;CORRECTA;PAIS
Encuesta de creatividad;La innovación de producto más importante debe ser;a.Nuevo invento;SI;Syria
Encuesta de creatividad;La innovación de producto más importante debe ser;a.Nuevo invento;SI;Togo
Encuesta de creatividad;La innovación de producto más importante debe ser;a.Nuevo invento;SI;Turquia
Encuesta de creatividad;La innovación de producto más importante debe ser;a.Nuevo invento;SI;Tuvalu
Encuesta de creatividad;La innovación de producto más importante debe ser;a.Nuevo invento;SI;Uganda
Encuesta de creatividad;La innovación de producto más importante debe ser;a.Nuevo invento;SI;Uganda
Encuesta de creatividad;La innovación de producto más importante debe ser;a.Nuevo invento;SI;Rusia
Encuesta de creatividad;La innovación de producto más importante debe ser;a.Nuevo invento;SI;Reino Unido
Encuesta de creatividad;La innovación de producto más importante debe ser;a.Nuevo invento;SI;Estados Unidos
Encuesta de creatividad;La innovación de producto más importante debe ser;a.Nuevo invento;SI;Alto Volta
Encuesta de creatividad;La innovación de producto más importante debe ser;b.invento modificado;NO;Tanzania
Encuesta de creatividad;La innovación de producto más importante debe ser;b.invento modificado;NO;Trinidad y Tobago
Encuesta de creatividad;La innovación de producto más importante debe ser;b.invento modificado;NO;Rusia
Encuesta de creatividad;La innovación de producto más importante debe ser;b.invento modificado;NO;Uruguay
Encuesta de creatividad;La innovación de producto más importante debe ser;c.Inovacion sobre invento existente;NO;Emiratos Arabes Unidos
Encuesta de creatividad;La innovación de producto más importante debe ser;c.Inovacion sobre invento existente;NO;Vanuatu
Encuesta de creatividad;La innovación de producto más importante debe ser;c.Inovacion sobre invento existente;NO;Venezuela
Encuesta de creatividad;La innovación de producto más importante debe ser;c.Inovacion sobre invento existente;NO;Vietnam
Encuesta de creatividad;La innovación de producto más importante debe ser;c.Inovacion sobre invento existente;NO;Samoa Occidental
Encuesta de creatividad;La innovación de producto más importante debe ser;d.Inovacion;NO;Tailandia
Encuesta de creatividad;La innovación de producto más importante debe ser;d.Inovacion;NO;Tongo
Encuesta de creatividad;La innovación de producto más importante debe ser;d.Inovacion;NO;Tunisia
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;a.Usted;SI;Syria
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;a.Usted;SI;Togo
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;a.Usted;SI;Turquia
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;a.Usted;SI;Rusia
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;a.Usted;SI;Reino Unido
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;a.Usted;SI;Alto Volta
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;b.Unviersidad;NO;Tanzania
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;b.Unviersidad;NO;Trinidad y Tobago
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;b.Unviersidad;NO;Tuvalu
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;b.Unviersidad;NO;Uganda
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;b.Unviersidad;NO;Rusia
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;b.Unviersidad;NO;Uganda
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;b.Unviersidad;NO;Estados Unidos
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;b.Unviersidad;NO;Uruguay
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;C.Empresa;NO;Emiratos Arabes Unidos
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;C.Empresa;NO;Vanuatu
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;C.Empresa;NO;Venezuela
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;C.Empresa;NO;Vietnam
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;C.Empresa;NO;Samoa Occidental
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;d. Cooperacion extranjera;NO;Tailandia
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;d. Cooperacion extranjera;NO;Tongo
Encuesta de creatividad;¿Quién ha desarrollado esos inventos?;d. Cooperacion extranjera;NO;Tunisia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Tanzania
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Tailandia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Togo
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Tongo
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Trinidad y Tobago
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Tunisia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Turquia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Tuvalu
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Uganda
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Rusia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Uganda
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Rusia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Reino Unido
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Estados Unidos
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Alto Volta
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Vanuatu
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Venezuela
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Vietnam
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Samoa Occidental
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;b.No;NO;Syria
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;b.No;NO;Emiratos Arabes Unidos
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;b.No;NO;Uruguay
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Syria
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Togo
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Tongo
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Turquia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Tuvalu
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Uganda
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Uganda
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Rusia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Reino Unido
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Estados Unidos
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Alto Volta
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Venezuela
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;b. Invento mejorado;NO;Tanzania
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;b. Invento mejorado;NO;Trinidad y Tobago
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;b. Invento mejorado;NO;Tunisia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;b. Invento mejorado;NO;Rusia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;b. Invento mejorado;NO;Uruguay
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;c. Ninguno;NO;Tailandia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;c. Ninguno;NO;Emiratos Arabes Unidos
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;c. Ninguno;NO;Vanuatu
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;c. Ninguno;NO;Vietnam
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;c. Ninguno;NO;Samoa Occidental
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;a.Si;SI;Syria
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;a.Si;SI;Tailandia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;a.Si;SI;Togo
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;a.Si;SI;Tongo
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;a.Si;SI;Tunisia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;a.Si;SI;Turquia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;a.Si;SI;Tuvalu
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;a.Si;SI;Uganda
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;a.Si;SI;Uganda
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;a.Si;SI;Rusia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;a.Si;SI;Reino Unido
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;a.Si;SI;Estados Unidos
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;a.Si;SI;Alto Volta
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;a.Si;SI;Vanuatu
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;a.Si;SI;Venezuela
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;b.No;NO;Tanzania
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;b.No;NO;Trinidad y Tobago
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;b.No;NO;Rusia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;b.No;NO;Emiratos Arabes Unidos
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;b.No;NO;Uruguay
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;b.No;NO;Vietnam
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizó el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del año 2003, todavía no habían sido finalizadas?;b.No;NO;Samoa Occidental
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;a. Metodo cientifico;SI;Syria
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;a. Metodo cientifico;SI;Tailandia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;a. Metodo cientifico;SI;Togo
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;a. Metodo cientifico;SI;Tongo
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;a. Metodo cientifico;SI;Tunisia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;a. Metodo cientifico;SI;Tuvalu
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;a. Metodo cientifico;SI;Rusia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;a. Metodo cientifico;SI;Uganda
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;a. Metodo cientifico;SI;Rusia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;a. Metodo cientifico;SI;Reino Unido
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;a. Metodo cientifico;SI;Estados Unidos
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;a. Metodo cientifico;SI;Alto Volta
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;a. Metodo cientifico;SI;Uruguay
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;b. Metodo de desarrollo;NO;Tanzania
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;b. Metodo de desarrollo;NO;Trinidad y Tobago
