ENCUESTA;PREGUNTA;RESPUESTA;CORRECTA;PAIS
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;b. Metodo de desarrollo;NO;Turquia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;b. Metodo de desarrollo;NO;Uganda
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;b. Metodo de desarrollo;NO;Vanuatu
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;b. Metodo de desarrollo;NO;Vietnam
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;b. Metodo de desarrollo;NO;Samoa Occidental
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;c.Metodo del caos;NO;Emiratos Arabes Unidos
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgúnmétodos de investigacion ?;d. Ningun metodo;NO;Venezuela
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;a. De 90% a100%;SI;Syria
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;a. De 90% a100%;SI;Rusia
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;a. De 90% a100%;SI;Uganda
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;a. De 90% a100%;SI;Estados Unidos
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;b. De 80 a %89;NO;Tanzania
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;b. De 80 a %89;NO;Trinidad y Tobago
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;b. De 80 a %89;NO;Turquia
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;b. De 80 a %89;NO;Uganda
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;b. De 80 a %89;NO;Vanuatu
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;b. De 80 a %89;NO;Vietnam
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;c. De 50% a 79%;NO;
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Tailandia
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Togo
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Tongo
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Tunisia
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Tuvalu
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Emiratos Arabes Unidos
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Rusia
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Reino Unido
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Alto Volta
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Uruguay
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Venezuela
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Samoa Occidental
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;a. Mas de 100;SI;Syria
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;a. Mas de 100;SI;Togo
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;a. Mas de 100;SI;Uganda
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;a. Mas de 100;SI;Rusia
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;a. Mas de 100;SI;Reino Unido
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;a. Mas de 100;SI;Estados Unidos
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;a. Mas de 100;SI;Alto Volta
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;a. Mas de 100;SI;Venezuela
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;a. Mas de 100;SI;Vietnam
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;a. Mas de 100;SI;Samoa Occidental
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;b. Entre 50 y 100;NO;Tunisia
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;b. Entre 50 y 100;NO;Tuvalu
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;b. Entre 50 y 100;NO;Rusia
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;b. Entre 50 y 100;NO;Emiratos Arabes Unidos
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;b. Entre 50 y 100;NO;Uruguay
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;b. Entre 50 y 100;NO;Vanuatu
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;c. Entre 20 y49;NO;
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;d. Menos de 20;NO;Tanzania
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;d. Menos de 20;NO;Tailandia
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;d. Menos de 20;NO;Tongo
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;d. Menos de 20;NO;Trinidad y Tobago
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;d. Menos de 20;NO;Turquia
Encuesta de creatividad;¿ Cúantos inventos se han desarrollado en el presente año?;d. Menos de 20;NO;Uganda
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;a.Raras veces;SI;Brasil
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;a.Raras veces;SI;Afghanistan
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;a.Raras veces;SI;Andorra
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;a.Raras veces;SI;Argentina
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;a.Raras veces;SI;Bahrain
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;a.Raras veces;SI;Barbados
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;b.Siempre;NO;Brunei
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;b.Siempre;NO;Albania
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;b.Siempre;NO;Angola
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;b.Siempre;NO;Australia
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;b.Siempre;NO;Austria
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;b.Siempre;NO;Bahamas
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;b.Siempre;NO;Bangladesh
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;c.es inconciente;NO;Algeria
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;c.es inconciente;NO;Antigua y Barbuda
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;c.es inconciente;NO;Belgica
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;c.es inconciente;NO;Belize
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;c.es inconciente;NO;Benin
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;c.es inconciente;NO;Bhutan
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;c.es inconciente;NO;Bolivia
Encuesta de Inspiración;¿Cuando tuvo la experiencia de invenciòn?;d.nunca;NO;
Encuesta de Inspiración;¿Dónde estaba usted cuando tuvo la experiencia?;a. En el trabajo;SI;Brasil
Encuesta de Inspiración;¿Dónde estaba usted cuando tuvo la experiencia?;a. En el trabajo;SI;Albania
Encuesta de Inspiración;¿Dónde estaba usted cuando tuvo la experiencia?;a. En el trabajo;SI;Bahrain
Encuesta de Inspiración;¿Dónde estaba usted cuando tuvo la experiencia?;a. En el trabajo;SI;Belize
Encuesta de Inspiración;¿Dónde estaba usted cuando tuvo la experiencia?;a. En el trabajo;SI;Bhutan
Encuesta de Inspiración;¿Dónde estaba usted cuando tuvo la experiencia?;b. En la universidad;NO;Brunei
Encuesta de Inspiración;¿Dónde estaba usted cuando tuvo la experiencia?;b. En la universidad;NO;Afghanistan
Encuesta de Inspiración;¿Dónde estaba usted cuando tuvo la experiencia?;b. En la universidad;NO;Australia
Encuesta de Inspiración;¿Dónde estaba usted cuando tuvo la experiencia?;b. En la universidad;NO;Bangladesh
Encuesta de Inspiración;¿Dónde estaba usted cuando tuvo la experiencia?;b. En la universidad;NO;Barbados
Encuesta de Inspiración;¿Dónde estaba usted cuando tuvo la experiencia?;b. En la universidad;NO;Benin
Encuesta de Inspiración;¿Dónde estaba usted cuando tuvo la experiencia?;c.En su casa;NO;Algeria
Encuesta de Inspiración;¿Dónde estaba usted cuando tuvo la experiencia?;c.En su casa;NO;Andorra
Encuesta de Inspiración;¿Dónde estaba usted cuando tuvo la experiencia?;c.En su casa;NO;Angola
Encuesta de Inspiración;¿Dónde estaba usted cuando tuvo la experiencia?;c.En su casa;NO;Antigua y Barbuda
Encuesta de Inspiración;¿Dónde estaba usted cuando tuvo la experiencia?;c.En su casa;NO;Argentina
Encuesta de Inspiración;¿Dónde estaba usted cuando tuvo la experiencia?;c.En su casa;NO;Austria
Encuesta de Inspiración;¿Dónde estaba usted cuando tuvo la experiencia?;c.En su casa;NO;Bahamas
Encuesta de Inspiración;¿Dónde estaba usted cuando tuvo la experiencia?;c.En su casa;NO;Belgica
Encuesta de Inspiración;¿Dónde estaba usted cuando tuvo la experiencia?;d. En cualquier parte;NO;Bolivia
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;a. Todo el tiempo;SI;Brasil
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;a. Todo el tiempo;SI;Albania
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;a. Todo el tiempo;SI;Antigua y Barbuda
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;a. Todo el tiempo;SI;Australia
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;a. Todo el tiempo;SI;Bahrain
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;a. Todo el tiempo;SI;Belgica
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;a. Todo el tiempo;SI;Belize
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;a. Todo el tiempo;SI;Benin
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;a. Todo el tiempo;SI;Bhutan
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;a. Todo el tiempo;SI;Bolivia
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;b. Mas de un dia;NO;Brunei
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;b. Mas de un dia;NO;Algeria
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;b. Mas de un dia;NO;Andorra
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;b. Mas de un dia;NO;Argentina
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;b. Mas de un dia;NO;Bangladesh
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;c. Un dia;NO;Afghanistan
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;c. Un dia;NO;Angola
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;c. Un dia;NO;Austria
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;c. Un dia;NO;Bahamas
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;c. Un dia;NO;Barbados
Encuesta de Inspiración;Estime cuanto tiempo duró la experiencia.;d. Menos de un dia;NO;
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;a. Investigación;SI;Brasil
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;a. Investigación;SI;Albania
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;a. Investigación;SI;Andorra
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;a. Investigación;SI;Antigua y Barbuda
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;a. Investigación;SI;Australia
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;a. Investigación;SI;Bahrain
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;a. Investigación;SI;Belgica
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;a. Investigación;SI;Bhutan
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;a. Investigación;SI;Bolivia
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;b. Estuidio;NO;Brunei
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;b. Estuidio;NO;Algeria
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;b. Estuidio;NO;Argentina
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;b. Estuidio;NO;Bangladesh
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;b. Estuidio;NO;Belize
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;c. Imaginación;NO;Afghanistan
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;c. Imaginación;NO;Angola
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;c. Imaginación;NO;Austria
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;c. Imaginación;NO;Bahamas
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;c. Imaginación;NO;Barbados
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;c. Imaginación;NO;Benin
Encuesta de Inspiración;Señale uno de los datos que sigue para indicar el proceso de invención;d. Nada;NO;
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;a. No importa;NO;Afghanistan
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;a. No importa;NO;Andorra
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;a. No importa;NO;Antigua y Barbuda
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;a. No importa;NO;Australia
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;a. No importa;NO;Bahrain
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;a. No importa;NO;Benin
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;b. Lluvioso;NO;Albania
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;b. Lluvioso;NO;Argentina
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;b. Lluvioso;NO;Bangladesh
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;b. Lluvioso;NO;Bhutan
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;c. Nublado;NO;Brasil
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;c. Nublado;NO;Brunei
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;c. Nublado;NO;Algeria
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;c. Nublado;NO;Angola
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;c. Nublado;NO;Austria
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;c. Nublado;NO;Bahamas
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;c. Nublado;NO;Barbados
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;c. Nublado;NO;Belgica
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;c. Nublado;NO;Belize
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;c. Nublado;NO;Bolivia
Encuesta de Inspiración;¿Cuál era la condición del ambiente cuando inventa?;d. Caluroso;NO;
Encuesta de Inspiración;¿cuál era su estado de ánimo?;a. Indiferente;NO;Afghanistan
Encuesta de Inspiración;¿cuál era su estado de ánimo?;a. Indiferente;NO;Andorra
Encuesta de Inspiración;¿cuál era su estado de ánimo?;a. Indiferente;NO;Antigua y Barbuda
Encuesta de Inspiración;¿cuál era su estado de ánimo?;a. Indiferente;NO;Austria
Encuesta de Inspiración;¿cuál era su estado de ánimo?;a. Indiferente;NO;Belize
Encuesta de Inspiración;¿cuál era su estado de ánimo?;a. Indiferente;NO;Bolivia
Encuesta de Inspiración;¿cuál era su estado de ánimo?;b. euforico;NO;Albania
Encuesta de Inspiración;¿cuál era su estado de ánimo?;b. euforico;NO;Bahamas
Encuesta de Inspiración;¿cuál era su estado de ánimo?;b. euforico;NO;Bangladesh
Encuesta de Inspiración;¿cuál era su estado de ánimo?;b. euforico;NO;Benin
Encuesta de Inspiración;¿cuál era su estado de ánimo?;c.Deprimido;NO;Brasil
Encuesta de Inspiración;¿cuál era su estado de ánimo?;c.Deprimido;NO;Brunei
Encuesta de Inspiración;¿cuál era su estado de ánimo?;c.Deprimido;NO;Algeria
Encuesta de Inspiración;¿cuál era su estado de ánimo?;c.Deprimido;NO;Angola
Encuesta de Inspiración;¿cuál era su estado de ánimo?;c.Deprimido;NO;Argentina
Encuesta de Inspiración;¿cuál era su estado de ánimo?;c.Deprimido;NO;Australia
Encuesta de Inspiración;¿cuál era su estado de ánimo?;c.Deprimido;NO;Bahrain
Encuesta de Inspiración;¿cuál era su estado de ánimo?;c.Deprimido;NO;Barbados
Encuesta de Inspiración;¿cuál era su estado de ánimo?;c.Deprimido;NO;Belgica
Encuesta de Inspiración;¿cuál era su estado de ánimo?;c.Deprimido;NO;Bhutan
Encuesta de Inspiración;¿cuál era su estado de ánimo?;d.Sorprendido;NO;
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;a. Ninguno;SI;Brunei
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;a. Ninguno;SI;Afghanistan
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;a. Ninguno;SI;Albania
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;a. Ninguno;SI;Andorra
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;a. Ninguno;SI;Antigua y Barbuda
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;a. Ninguno;SI;Argentina
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;a. Ninguno;SI;Australia
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;a. Ninguno;SI;Austria
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;a. Ninguno;SI;Bahrain
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;a. Ninguno;SI;Barbados
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;a. Ninguno;SI;Belgica
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;a. Ninguno;SI;Belize
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;a. Ninguno;SI;Bolivia
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;b.Door de cabeza;NO;Bahamas
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;b.Door de cabeza;NO;Bangladesh
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;b.Door de cabeza;NO;Benin
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;c. Cansancio;NO;Brasil
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;c. Cansancio;NO;Algeria
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;c. Cansancio;NO;Angola
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;c. Cansancio;NO;Bhutan
Encuesta de Inspiración;¿Qué síntomas psicosomáticos quedaron después de la experiencia?;d.Desbalance;NO;